#{"t_start": 1749643812.9233775, "env_id": "None"}
r,l,t
-201.457127,764,1.384057
-204.014778,757,2.116479
-200.58722,770,5.632741
-156.019519,795,6.288897
-186.859849,757,6.946555
-213.030952,755,10.13992
-194.135595,757,10.759641
-220.267487,767,11.38954
-193.294829,754,14.617492
-165.910771,767,15.236292
-201.351182,759,18.394768
-147.127554,805,19.039693
-108.474356,885,28.690722
-140.172698,843,31.824878
-109.122663,907,32.620197
-112.753641,940,35.825201
420.36472,2485,40.225445
402.165223,2122,44.220147
387.39319,1916,48.055975
5162.221908,15826,94.185967
12083.579506,29156,217.584686
9211.681585,24560,382.878785
562.907219,2402,455.724417
521.394881,2207,459.977228
590.60293,2589,464.57891
470.47857,2118,468.690333
569.446868,2532,551.028682
830.097467,3949,559.367173
559.403611,2482,563.679364
346.132268,1662,567.546748
466.653909,2130,645.234092
578.521173,2475,649.858217
493.578788,2350,654.157865
11854.305785,29054,839.313012
12981.364957,29209,953.146455
3660.572044,14665,987.646199
-48.617684,1164,988.588164
8435.676374,29640,1059.347912
13268.058174,29217,1127.516262
11752.621288,29176,1197.153139
464.120086,2190,1206.204174
509.321737,2278,1210.5475
824.824579,3977,1218.649935
3380.18064,9501,1245.682959
468.960982,2084,1249.896289
571.718917,2556,1260.021085
839.692688,4097,1268.336707
9404.419968,21055,1320.436835
14383.449109,29095,1426.510275
15287.001252,29120,1611.766916
15269.209172,29103,1783.732631
15378.109482,29109,1968.857633
15623.956729,29100,2198.363048
