x,y
13664.5647,7919.0953
13680.12,7861.1174
13694.038700000001,7802.835300000001
13702.087500000001,7743.5648
13700.893900000001,7683.6649
13713.719700000001,7625.867700000001
13738.872500000001,7571.6183
13777.799,7524.1876
13794.7636,7477.1685
13808.0098,7428.9722
13820.579,7380.5789
13831.8631,7331.8864
13841.215100000001,7282.7918
13847.097600000001,7243.2125
13834.879500000001,7195.0038
13819.9199,7147.2882
13807.2271,7098.9479
13798.030200000001,7049.8126
13802.639,7000.1829
13808.3116,6950.4743
13779.320800000001,6948.9749
13759.8406,6953.515600000001
13740.3605,6958.0562
13720.8807,6962.5657
13701.3927,6967.1062
13681.9125,6971.6469
13662.4328,6976.156300000001
13642.9526,6980.6969
13623.4724,6985.2376
13603.9927,6989.747
13584.5125,6994.2876
13565.0245,6998.828100000001
13549.440900000001,7002.4232
13533.856800000001,7006.0494
13508.1006,7009.5959
13512.631000000001,7029.2557
13517.169100000001,7048.9155
13521.7072,7068.5754
13526.2453,7088.2353
13530.7839,7107.8639
13535.322,7127.5237
13539.860200000001,7147.1836
13520.380000000001,7151.724200000001
13500.8998,7156.2649
13481.4274,7160.8056
13461.9472,7165.3463
13442.467,7169.8869
13422.994200000001,7174.4589
13403.514,7178.9995
13384.033800000001,7183.5402
13364.5614,7188.0809
13345.0812,7192.6215
13325.601,7197.1622
13306.1208,7201.7028
13286.6484,7206.2435000000005
13267.1682,7210.7842
13247.688,7215.3248
13228.2156,7219.8655
13208.7355,7224.4061
13189.2548,7228.978
13169.7824,7233.5187000000005
13150.3022,7238.0593
13130.822,7242.6
13111.3418,7247.140600000001
13091.8694,7251.6813
13072.389200000001,7256.2219000000005
13052.909,7260.7625
13033.4367,7265.3032
13013.9565,7269.843800000001
12994.4763,7274.3844
12975.0039,7278.9252
12955.5232,7283.497
12936.043000000001,7288.0376
12916.5628,7292.5782
12897.090400000001,7297.1189
12877.610200000001,7301.6595
12858.130000000001,7306.2001
12838.6576,7310.7408
12819.1774,7315.2814
12799.6972,7319.822
12780.2248,7324.3627
12760.7446,7328.9033
12741.264000000001,7333.4751
12721.783800000001,7338.0157
12702.3114,7342.5564
12682.8312,7347.097
12663.351,7351.6376
12643.8786,7356.1783
12624.3984,7360.718800000001
12604.9182,7365.2594
12585.8396,7363.9923
12567.2529,7356.6063
12548.6663,7349.2203
12530.08,7341.803
12511.4934,7334.417
12492.9145,7327.031
12474.3279,7319.645
12455.7412,7312.259
12437.155,7304.8417
12418.5761,7297.4558
12399.9895,7290.0697
12381.4028,7282.6837
12362.816200000001,7275.2977
12344.2373,7267.911700000001
12325.651100000001,7260.4945
12307.0645,7253.1084
12291.6968,7241.8294000000005
12281.026,7224.8966
12270.3626,7207.9951
12259.6919,7191.0623
12249.020700000001,7174.1608
12238.349900000001,7157.228
12227.6787,7140.3264
12217.015800000001,7123.3937000000005
12206.3446,7106.4921
12195.6738,7089.5593
12185.0026,7072.6578
12174.3397,7055.7251
12163.6685,7038.8235
12152.9977,7021.8907
12142.326500000001,7004.9892
12131.6558,6988.0564
12120.992400000001,6971.155000000001
12110.3217,6954.2222
12099.6505,6937.3206
12088.9797,6920.3878
12078.308500000001,6903.4863000000005
12067.6456,6886.5536
12056.974400000001,6869.652
12046.3037,6852.719300000001
12035.6325,6835.8177
12024.961800000001,6818.8849
12014.2984,6801.9835
12003.627700000001,6785.0507
11992.9565,6768.1492
11982.2857,6751.2164
11971.6224,6734.3150000000005
11960.9517,6717.3822
11950.2805,6700.4806
11939.6097,6683.5479
11928.938600000001,6666.6463
11918.2757,6649.7137
11907.604500000001,6632.8121
11896.9338,6615.8793000000005
11886.2626,6598.977800000001
11875.5919,6582.045
11864.9285,6565.1436
11854.2578,6548.2108
11843.5866,6531.3093
11832.9159,6514.3765
11822.2526,6497.4751
11811.581900000001,6480.5424
11800.9107,6463.6408
11790.24,6446.7081
11779.569300000001,6429.7753
11768.9059,6412.8739000000005
11758.235200000001,6395.9411
11747.5641,6379.0396
11736.8933,6362.1069
11726.2222,6345.2053
11715.5593,6328.2727
11704.888200000001,6311.3712
11694.2174,6294.4384
11683.5463,6277.5369
11672.8834,6260.6043
11662.212300000001,6243.7027
11651.5416,6226.77
11640.8704,6209.8685000000005
11630.199700000001,6192.9357
11619.5364,6176.0343
11608.8657,6159.1016
11598.1946,6142.2001
11587.5239,6125.2673
11578.122,6110.3526
11590.9709,6102.281300000001
11603.8282,6094.1789
11616.6854,6086.0765
11629.534800000001,6077.974
11642.3916,6069.9029
11655.248800000001,6061.8005
11668.106,6053.6981
11680.9554,6045.595600000001
11693.812600000001,6037.4932
11706.6694,6029.4221
11719.5188,6021.3196
11732.376,6013.2172
11745.2333,6005.1148
11758.09,5997.0436
11770.939400000001,5988.9411
11783.7967,5980.8387
11796.653900000001,5972.7363000000005
11809.5033,5964.6338
11822.36,5956.5626
11835.2173,5948.4602
11848.0667,5940.3577000000005
11860.9239,5932.2553
11873.7806,5924.1842
11883.0072,5938.7839
11893.678,5955.7166
11904.3569,5972.6182
11915.0281,5989.5197
11925.6988,6006.4524
11936.3778,6023.354
11947.0485,6040.2868
11957.7196,6057.1883
11968.3982,6074.1211
11979.069300000001,6091.0226
11989.7405,6107.9241
12000.419,6124.857
12011.0902,6141.7584
12021.760900000001,6158.6912
12032.439900000001,6175.5928
12043.1111,6192.4943
12053.7818,6209.427
12064.4608,6226.3287
12075.1315,6243.2614
12085.8027,6260.1629
12096.4817,6277.0645
12107.1524,6293.9973
12117.8236,6310.8988
12128.5021,6327.8316
12139.1733,6344.7331
12149.844000000001,6361.6659
12160.523000000001,6378.5675
12171.1942,6395.469
12181.8649,6412.4018
12192.5439,6429.3034
12203.2147,6446.2362
12213.885900000001,6463.1377
12224.5648,6480.0393
12235.2356,6496.972
12245.9068,6513.8736
12256.5853,6530.8064
12267.2565,6547.7080000000005
12277.9273,6564.6407
12288.6063,6581.5423
12299.2775,6598.4439
12309.9482,6615.3766
12320.6272,6632.2783
12331.298,6649.211
12341.9692,6666.1126
12352.6482,6683.0142
12363.319,6699.947
12373.998,6716.8486
12384.6687,6733.7814
12395.3399,6750.6829
12406.018900000001,6767.5845
12416.6897,6784.5173
12427.3609,6801.418900000001
12438.0395,6818.3517
12448.7107,6835.2533
12466.7482,6843.3505000000005
12485.3835,6850.6121
12504.0183,6857.905000000001
12522.6458,6865.1666000000005
12541.281,6872.4283
12559.9163,6879.6900000000005
12578.5511,6886.9829
12597.633,6889.1251
12617.121000000001,6884.5846
12636.6008,6880.0753
12656.0883,6875.5661
12675.5759,6871.0569
12695.0556,6866.547500000001
12714.5431,6862.0383
12734.0307,6857.5291
12753.5182,6853.0198
12772.998,6848.5105
12792.4855,6844.0013
12811.973100000001,6839.492
12831.452800000001,6834.9827000000005
12850.9403,6830.4734
12870.4279,6825.9642
12889.9154,6821.455
12909.3952,6816.9456
12928.8827,6812.4364000000005
12948.3707,6807.8958999999995
12967.8504,6803.3865000000005
12987.3379,6798.8773
13006.8255,6794.368
13026.313,6789.8588
13045.7928,6785.3494
13065.2803,6780.840200000001
13084.767800000001,6776.3309
13104.2476,6771.8215
13123.7351,6767.3123
13143.2227,6762.803
13162.7024,6758.2937
13182.189900000001,6753.7844000000005
13201.6775,6749.2751
13221.165,6744.7659
13240.6447,6740.2565
13260.1327,6735.716
13279.6203,6731.206700000001
13299.1,6726.6973
13318.587500000001,6722.1881
13338.0751,6717.6788
13357.562600000001,6713.1695
13377.042300000001,6708.6601
13396.529900000001,6704.150900000001
13416.0174,6699.6416
13435.4971,6695.1322
13448.5275,6691.9703
13468.015,6687.461
13487.509900000001,6682.9831
13506.997,6678.505
13526.4923,6673.995800000001
13545.9794,6669.5178
13561.5709,6665.9229
13577.1623,6662.328
13592.753700000001,6658.7331
13608.3525,6655.1695
13627.84,6650.6602
13647.3349,6646.1823
13663.8915,6638.381600000001
13668.6085,6627.3836
13657.4614,6607.6313
13646.3143,6587.879
13635.151100000001,6568.1578
13621.953000000001,6547.5642
13608.6695,6526.3756
13595.3938,6505.1871
13582.110200000001,6483.9985
13568.8345,6462.810100000001
13555.550500000001,6441.652700000001
13542.2748,6420.4642
13528.9913,6399.2757
13515.7156,6378.0872
13502.432,6356.8986
13489.1559,6335.7414
13475.8724,6314.5528
13462.5966,6293.3643
13449.3131,6272.1758
13436.037400000001,6250.9873
13422.7613,6229.8301
13409.4778,6208.6415
13396.2021,6187.453
13382.9185,6166.2645
13369.642800000001,6145.076
13356.3589,6123.9187
13343.083200000001,6102.7302
13329.7997,6081.5417
13316.524000000001,6060.3532000000005
13303.2405,6039.1647
13289.9648,6017.9762
13276.6809,5996.8189
13263.405200000001,5975.6305
13250.1217,5954.4419
13236.846000000001,5933.2535
13223.5625,5912.0649
13210.2864,5890.9077
13197.0029,5869.7192000000005
13183.727200000001,5848.5307
13170.443800000001,5827.3422
13157.1681,5806.1537
13143.8842,5784.9965
13130.6085,5763.808
13117.325,5742.6195
13104.0493,5721.4311
13090.7659,5700.2425
13077.4898,5679.0853
13064.2063,5657.8968
13050.9306,5636.7084
13037.6472,5615.5198
13024.371500000001,5594.3314
13011.0876,5573.1741
12997.8119,5551.9857
12984.5285,5530.7972
12971.2528,5509.6088
12957.9694,5488.4203
12944.6933,5467.2631
12931.409800000001,5446.0746
12918.1342,5424.8862
12904.8507,5403.6977
12891.5751,5382.5093
12878.2912,5361.352
12865.0156,5340.1636
12851.7399,5318.9752
12838.4565,5297.7867
12825.1809,5276.5983
12811.897,5255.441
12798.6214,5234.2526
12785.3379,5213.0641000000005
12772.0623,5191.8757000000005
12758.778900000001,5170.6872
12745.5028,5149.5301
12732.2194,5128.3416
12718.9437,5107.1532
12705.6603,5085.9647
12692.3847,5064.7763
12679.1013,5043.5878
12665.825200000001,5022.4307
12652.5418,5001.2422
12639.2662,4980.0538
12625.9828,4958.8653
12612.7072,4937.677
12599.4233,4916.5197
12586.147700000001,4895.3314
12572.864300000001,4874.1429
12559.5887,4852.9545
12546.3053,4831.766
12532.8504,4811.1065
12519.3699,4790.040300000001
12505.889000000001,4769.0053
12492.4086,4747.9391
12478.928100000001,4726.8729
12465.4473,4705.8379
12451.9668,4684.7717
12438.4864,4663.7055
12425.005500000001,4642.6705
12411.5251,4621.6043
12398.044600000001,4600.5381
12384.571600000001,4579.5033
12367.7954,4553.2966
12384.6217,4542.4056
12401.4481,4531.5146
12418.2818,4520.655
12435.108100000001,4509.764
12451.942200000001,4498.8731
12468.768100000001,4488.0134
12485.602200000001,4477.1225
12502.4285,4466.2315
12519.2544,4455.3718
12536.0885,4444.4809000000005
12552.9144,4433.6212
12569.7485,4422.7303
12586.5748,4411.8393
12603.4007,4400.9795
12620.2348,4390.0886
12637.0611,4379.1976
12653.8948,4368.338
12670.7211,4357.447
12687.5552,4346.5561
12704.3811,4335.6964
12722.3429,4362.6072
12736.2096,4383.4287
12750.0846,4404.2191
12763.9518,4425.0094
12777.8264,4445.8311
12791.693500000001,4466.6214
12805.568500000001,4487.4118
12819.435300000001,4508.2334
12833.310300000001,4529.0238
12847.1775,4549.8141
12861.0525,4570.6045
12874.919300000001,4591.426100000001
12888.7865,4612.2164
12902.687100000001,4632.2884
12916.3729,4653.2011
12930.058700000001,4674.1139
12943.744,4695.058
12957.4298,4715.9708
12971.115600000001,4736.8836
12984.8088,4757.8277
12998.4946,4778.7405
13012.180400000001,4799.6534
13025.8661,4820.5662
13039.551500000001,4841.5102
13053.2373,4862.423
13066.9231,4883.3358
13080.6085,4904.2799
13094.294300000001,4925.1927000000005
13107.9801,4946.1055
13121.6659,4967.0183
13135.351200000001,4987.9624
13149.037,5008.8752
13162.7228,5029.7880000000005
